('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         410553 function calls (398801 primitive calls) in 0.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.002    0.000 enum.py:451(_create_)
     2263    0.002    0.000    0.002    0.000 element.py:158(setup)
      364    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.002    0.002 runpy.py:104(_get_module_details)
        1    0.000    0.000    0.002    0.002 resources.py:1(<module>)
     6107    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     2251    0.001    0.000    0.002    0.000 css_parser.py:308(match)
        1    0.000    0.000    0.002    0.002 cookies.py:39(<module>)
     6363    0.002    0.000    0.002    0.000 sre_parse.py:160(__len__)
      509    0.001    0.000    0.002    0.000 __init__.py:576(object_was_parsed)
     1218    0.001    0.000    0.002    0.000 element.py:1980(search_tag)
      123    0.000    0.000    0.002    0.000 _htmlparser.py:251(handle_comment)
      792    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      193    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
        1    0.000    0.000    0.002    0.002 models.py:3(<module>)
       75    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
     2737    0.002    0.000    0.002    0.000 __init__.py:478(string_container)
     1244    0.002    0.000    0.002    0.000 __init__.py:513(popTag)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
    13198    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      214    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
      509    0.001    0.000    0.002    0.000 element.py:890(__new__)
     1039    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
     4051    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
      136    0.000    0.000    0.002    0.000 css_types.py:177(__init__)
        1    0.000    0.000    0.002    0.002 ssl_.py:250(create_urllib3_context)
        1    0.000    0.000    0.002    0.002 chardistribution.py:28(<module>)
     3858    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
     1838    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     7568    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
       13    0.001    0.000    0.001    0.000 __init__.py:345(namedtuple)
      989    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.001    0.001 dammit.py:68(EntitySubstitution)
      248    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
     2930    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
      259    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      876    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      265    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 ssl.py:482(__new__)
      276    0.001    0.000    0.001    0.000 enum.py:88(__setitem__)
        1    0.000    0.000    0.001    0.001 sessions.py:427(__exit__)
        1    0.000    0.000    0.001    0.001 sessions.py:744(close)
