Thu Jul  8 22:17:29 2021    tmp

         135858 function calls (135689 primitive calls) in 0.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
      232    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        5    0.000    0.000    0.000    0.000 enum.py:993(_decompose)
      143    0.000    0.000    0.000    0.000 types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 sessions.py:362(__init__)
       12    0.000    0.000    0.000    0.000 queue.py:154(get)
        2    0.000    0.000    0.000    0.000 cookiejar.py:459(parse_ns_headers)
    37/13    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      116    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       15    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        2    0.000    0.000    0.000    0.000 cookiejar.py:976(set_ok_verifiability)
      140    0.000    0.000    0.000    0.000 socket.py:729(readable)
      204    0.000    0.000    0.000    0.000 os.py:758(decode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1575(_cookies_from_attrs_set)
        2    0.000    0.000    0.000    0.000 cookiejar.py:719(is_third_party)
      112    0.000    0.000    0.000    0.000 os.py:754(encode)
       98    0.000    0.000    0.000    0.000 element.py:1943(_normalize_search_value)
        1    0.000    0.000    0.000    0.000 models.py:579(prepare_hooks)
        4    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        4    0.000    0.000    0.000    0.000 _collections_abc.py:504(__subclasshook__)
       11    0.000    0.000    0.000    0.000 queue.py:122(put)
        1    0.000    0.000    0.000    0.000 models.py:175(register_hook)
      104    0.000    0.000    0.000    0.000 os.py:697(__iter__)
        1    0.000    0.000    0.000    0.000 element.py:1666(decode_contents)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 parser.py:255(parse_html_declaration)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
       29    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        4    0.000    0.000    0.000    0.000 url.py:274(_normalize_host)
        1    0.000    0.000    0.000    0.000 element.py:925(output_ready)
       19    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:260(handle_decl)
       13    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.000    0.000 structures.py:82(copy)
        1    0.000    0.000    0.000    0.000 connectionpool.py:243(_get_conn)
      138    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1483(_cookie_from_cookie_tuple)
        1    0.000    0.000    0.000    0.000 models.py:559(prepare_cookies)
        3    0.000    0.000    0.000    0.000 cookies.py:37(__init__)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.000    0.000 cookies.py:135(get_cookie_header)
        5    0.000    0.000    0.000    0.000 connection.py:216(putheader)
        2    0.000    0.000    0.000    0.000 cookiejar.py:225(http2time)
        4    0.000    0.000    0.000    0.000 cookiejar.py:613(request_host)
        5    0.000    0.000    0.000    0.000 financial.py:43(get_price)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:759(get)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        3    0.000    0.000    0.000    0.000 cookies.py:508(cookiejar_from_dict)
        1    0.000    0.000    0.000    0.000 connectionpool.py:966(_new_conn)
        8    0.000    0.000    0.000    0.000 message.py:462(get)
        2    0.000    0.000    0.000    0.000 utils.py:782(select_proxy)
      281    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
        1    0.000    0.000    0.000    0.000 _collections.py:141(__init__)
  183/181    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        8    0.000    0.000    0.000    0.000 enum.py:953(__and__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 models.py:599(__init__)
      326    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        2    0.000    0.000    0.000    0.000 client.py:411(close)
        7    0.000    0.000    0.000    0.000 utils.py:293(to_key_val_list)
        5    0.000    0.000    0.000    0.000 parse.py:817(quote)
       25    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        2    0.000    0.000    0.000    0.000 cookiejar.py:997(set_ok_path)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        4    0.000    0.000    0.000    0.000 cookiejar.py:670(escape_path)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.000    0.000 cookiejar.py:640(request_path)
        1    0.000    0.000    0.000    0.000 connection.py:203(putrequest)
        3    0.000    0.000    0.000    0.000 url.py:297(<listcomp>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        2    0.000    0.000    0.000    0.000 adapters.py:113(__init__)
        2    0.000    0.000    0.000    0.000 element.py:1905(__init__)
        1    0.000    0.000    0.000    0.000 element.py:1438(__getattr__)
       47    0.000    0.000    0.000    0.000 element.py:1202(string)
       22    0.000    0.000    0.000    0.000 threading.py:351(notify)
        1    0.000    0.000    0.000    0.000 _collections.py:231(extend)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       82    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       39    0.000    0.000    0.000    0.000 parse.py:114(_coerce_args)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        1    0.000    0.000    0.000    0.000 client.py:1237(endheaders)
        1    0.000    0.000    0.000    0.000 adapters.py:329(request_url)
        9    0.000    0.000    0.000    0.000 url.py:302(_idna_encode)
       25    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
        1    0.000    0.000    0.000    0.000 client.py:999(_send_output)
        2    0.000    0.000    0.000    0.000 contextlib.py:121(__exit__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       18    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        5    0.000    0.000    0.000    0.000 parse.py:888(quote_from_bytes)
        1    0.000    0.000    0.000    0.000 client.py:1053(putrequest)
        1    0.000    0.000    0.000    0.000 url.py:320(_encode_target)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1008(set_ok_domain)
        1    0.000    0.000    0.000    0.000 adapters.py:203(cert_verify)
        5    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
     11/8    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       75    0.000    0.000    0.000    0.000 element.py:1376(get)
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
        1    0.000    0.000    0.000    0.000 message.py:451(items)
        4    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 models.py:444(prepare_headers)
        1    0.000    0.000    0.000    0.000 __init__.py:440(reset)
        1    0.000    0.000    0.000    0.000 client.py:940(send)
        5    0.000    0.000    0.000    0.000 client.py:1209(putheader)
        8    0.000    0.000    0.000    0.000 parse.py:159(hostname)
        2    0.000    0.000    0.000    0.000 cookiejar.py:754(__init__)
      139    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.000    0.000 __init__.py:70(search_function)
       15    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 message.py:459(<listcomp>)
        1    0.000    0.000    0.000    0.000 client.py:237(__init__)
       38    0.000    0.000    0.000    0.000 structures.py:48(__setitem__)
       20    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        3    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
        2    0.000    0.000    0.000    0.000 cookiejar.py:143(_str2time)
        1    0.000    0.000    0.000    0.000 ssl.py:596(options)
        1    0.000    0.000    0.000    0.000 utils.py:817(default_headers)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        3    0.000    0.000    0.000    0.000 message.py:588(get_content_maintype)
       69    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.000    0.000 feedparser.py:184(close)
        2    0.000    0.000    0.000    0.000 response.py:425(_error_catcher)
        1    0.000    0.000    0.000    0.000 ssl.py:1193(sendall)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
       17    0.000    0.000    0.000    0.000 _collections.py:215(add)
      143    0.000    0.000    0.000    0.000 enum.py:768(value)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1258(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        3    0.000    0.000    0.000    0.000 url.py:91(__new__)
        1    0.000    0.000    0.000    0.000 response.py:195(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:510(_match_hostname)
       21    0.000    0.000    0.000    0.000 _collections.py:156(__getitem__)
        1    0.000    0.000    0.000    0.000 connection.py:292(__init__)
        1    0.000    0.000    0.000    0.000 response.py:275(release_conn)
        1    0.000    0.000    0.000    0.000 ssl.py:371(match_hostname)
        1    0.000    0.000    0.000    0.000 client.py:406(_close_conn)
       43    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      220    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 connectionpool.py:74(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
       40    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       74    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 cookiejar.py:1353(add_cookie_header)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 cookiejar.py:629(eff_request_host)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        5    0.000    0.000    0.000    0.000 financial.py:32(str_to_camel_style)
       61    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.000    0.000 fnmatch.py:80(translate)
       44    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 connectionpool.py:282(_put_conn)
        8    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1052(_normalize_host)
        1    0.000    0.000    0.000    0.000 socket.py:767(close)
        1    0.000    0.000    0.000    0.000 connection.py:110(__init__)
        2    0.000    0.000    0.000    0.000 adapters.py:146(init_poolmanager)
        1    0.000    0.000    0.000    0.000 socket.py:302(makefile)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1223(deepvalues)
        1    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
        5    0.000    0.000    0.000    0.000 financial.py:12(price_formatting)
        1    0.000    0.000    0.000    0.000 queue.py:34(__init__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
        1    0.000    0.000    0.000    0.000 response.py:369(_init_decoder)
       24    0.000    0.000    0.000    0.000 structures.py:53(__getitem__)
        1    0.000    0.000    0.000    0.000 socket.py:493(_real_close)
        4    0.000    0.000    0.000    0.000 idna.py:147(encode)
        6    0.000    0.000    0.000    0.000 cookies.py:51(get_full_url)
       15    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        2    0.000    0.000    0.000    0.000 parse.py:492(urlunparse)
        1    0.000    0.000    0.000    0.000 models.py:537(prepare_auth)
        9    0.000    0.000    0.000    0.000 url.py:303(<listcomp>)
        1    0.000    0.000    0.000    0.000 utils.py:234(extract_zipped_paths)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
