('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         335648 function calls (327492 primitive calls) in 1.116 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2929    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
     6695    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      276    0.001    0.000    0.001    0.000 enum.py:88(__setitem__)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ssl.py:482(__new__)
     3069    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.001    0.001 __init__.py:70(search_function)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      133    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.001    0.001 runpy.py:104(_get_module_details)
     2716    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     1136    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        1    0.000    0.000    0.001    0.001 dammit.py:71(_populate_class_variables)
       10    0.000    0.000    0.001    0.000 enum.py:521(<listcomp>)
      189    0.000    0.000    0.001    0.000 css_types.py:302(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:439(StrFormatStyle)
     6777    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        9    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
      543    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        2    0.000    0.000    0.001    0.000 _htmlparser.py:335(prepare_markup)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
      885    0.000    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.001    0.001 dammit.py:408(__init__)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:376(_freeze_relations)
      577    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
     7290    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     1245    0.001    0.000    0.001    0.000 element.py:1184(is_empty_element)
      546    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 idna.py:3(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.001    0.001    0.001    0.001 langrussianmodel.py:4(<module>)
        1    0.000    0.000    0.001    0.001 dammit.py:490(_convert_from)
     4187    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
